,municipality_id,usage,total_capacity
6930,9,454.0,1332.0
6931,9,527.0,1332.0
6932,9,666.0,1332.0
6933,9,800.0,1332.0
6934,9,845.0,1332.0
6935,9,845.0,1332.0
6936,9,820.0,1332.0
6937,9,824.0,1332.0
6938,9,725.0,1332.0
6939,9,673.0,1332.0
6940,9,462.0,1332.0
6941,9,496.0,1332.0
6942,9,635.0,1332.0
6943,9,770.0,1332.0
6944,9,805.0,1332.0
6945,9,836.0,1332.0
6946,9,833.0,1332.0
6947,9,803.0,1332.0
6948,9,717.0,1332.0
6949,9,694.0,1332.0
6950,9,413.0,1332.0
6951,9,502.0,1332.0
6952,9,559.0,1332.0
6953,9,733.0,1332.0
6954,9,758.0,1332.0
6955,9,794.0,1332.0
6956,9,790.0,1332.0
6957,9,745.0,1332.0
6958,9,730.0,1332.0
6959,9,665.0,1332.0
6960,9,388.9230769230769,
6961,9,437.0,1332.0
6962,9,587.0,1332.0
6963,9,652.0,1332.0
6964,9,666.0,1332.0
6965,9,706.0,1332.0
6966,9,708.0,1332.0
6967,9,684.0,1332.0
6968,9,633.0,1332.0
6969,9,540.0,1332.0
6970,9,308.0,1332.0
6971,9,366.0,1332.0
6972,9,410.0,1332.0
6973,9,518.0,1332.0
6974,9,539.0,1332.0
6975,9,616.0,1332.0
6976,9,727.0,1332.0
6977,9,804.0,1332.0
6978,9,816.0,1332.0
6979,9,790.0,1332.0
6980,9,388.9230769230769,
6981,9,362.0,1332.0
6982,9,390.0,1332.0
6983,9,406.0,1332.0
6984,9,554.0,1332.0
6985,9,610.0,1332.0
6986,9,674.0,1332.0
6987,9,694.0,1332.0
6988,9,691.0,1332.0
6989,9,613.0,1332.0
6990,9,388.9230769230769,
6991,9,353.0,1332.0
6992,9,462.0,1332.0
6993,9,610.0,1332.0
6994,9,650.0,1332.0
6995,9,666.0,1332.0
6996,9,698.0,1332.0
6997,9,691.0,1332.0
6998,9,628.0,1332.0
6999,9,568.0,1332.0
7000,9,388.9230769230769,
7001,9,524.0,1332.0
7002,9,687.0,1332.0
7003,9,804.0,1332.0
7004,9,815.0,1332.0
7005,9,840.0,1332.0
7006,9,841.0,1332.0
7007,9,833.0,1332.0
7008,9,788.0,1332.0
7009,9,698.0,1332.0
7010,9,388.9230769230769,
7011,9,490.0,1332.0
7012,9,594.0,1332.0
7013,9,711.0,1332.0
7014,9,747.0,1332.0
7015,9,780.0,1332.0
7016,9,798.0,1332.0
7017,9,766.0,1332.0
7018,9,720.0,1332.0
7019,9,610.0,1332.0
7020,9,388.0,1332.0
7021,9,422.0,1332.0
7022,9,587.0,1332.0
7023,9,658.0,1332.0
7024,9,775.0,1332.0
7025,9,786.0,1332.0
7026,9,797.0,1332.0
7027,9,785.0,1332.0
7028,9,749.0,1332.0
7029,9,715.0,1332.0
7030,9,388.9230769230769,
7031,9,425.0,1332.0
7032,9,525.0,1332.0
7033,9,622.0,1332.0
7034,9,671.0,1332.0
7035,9,712.0,1332.0
7036,9,726.0,1332.0
7037,9,710.0,1332.0
7038,9,679.0,1332.0
7039,9,593.0,1332.0
7040,9,388.9230769230769,
7041,9,378.0,1332.0
7042,9,479.0,1332.0
7043,9,603.0,1332.0
7044,9,682.0,1332.0
7045,9,797.0,1332.0
7046,9,878.0,1332.0
7047,9,930.0,1332.0
7048,9,936.0,1332.0
7049,9,914.0,1332.0
7050,9,388.9230769230769,
7051,9,490.0,1332.0
7052,9,720.0,1332.0
7053,9,749.0,1332.0
7054,9,762.0,1332.0
7055,9,793.0,1332.0
7056,9,818.0,1332.0
7057,9,776.0,1332.0
