,municipality_id,usage,total_capacity
2310,3,623.0,1930.0
2311,3,967.0,1930.0
2312,3,1263.0,1930.0
2313,3,1396.0,1930.0
2314,3,1456.0,1930.0
2315,3,1469.0,1930.0
2316,3,1457.0,1930.0
2317,3,1439.0,1930.0
2318,3,1309.0,1930.0
2319,3,1227.0,1930.0
2320,3,611.0,1930.0
2321,3,788.0,1930.0
2322,3,1147.0,1930.0
2323,3,1388.0,1930.0
2324,3,1439.0,1930.0
2325,3,1455.0,1930.0
2326,3,1436.0,1930.0
2327,3,1418.0,1930.0
2328,3,1312.0,1930.0
2329,3,1212.0,1930.0
2330,3,624.0,1930.0
2331,3,946.0,1930.0
2332,3,1128.0,1930.0
2333,3,1344.0,1930.0
2334,3,1375.0,1930.0
2335,3,1431.0,1930.0
2336,3,1430.0,1930.0
2337,3,1397.0,1930.0
2338,3,1355.0,1930.0
2339,3,1179.0,1930.0
2340,3,505.7692307692308,
2341,3,747.0,1930.0
2342,3,1134.0,1930.0
2343,3,1238.0,1930.0
2344,3,1259.0,1930.0
2345,3,1271.0,1930.0
2346,3,1276.0,1930.0
2347,3,1254.0,1930.0
2348,3,1189.0,1930.0
2349,3,915.0,1930.0
2350,3,313.0,1930.0
2351,3,406.0,1930.0
2352,3,464.0,1930.0
2353,3,635.0,1930.0
2354,3,710.0,1930.0
2355,3,814.0,1930.0
2356,3,884.0,1930.0
2357,3,963.0,1930.0
2358,3,933.0,1930.0
2359,3,874.0,1930.0
2360,3,505.7692307692308,
2361,3,294.0,1930.0
2362,3,306.0,1930.0
2363,3,317.0,1930.0
2364,3,426.0,1930.0
2365,3,474.0,1930.0
2366,3,496.0,1930.0
2367,3,506.0,1930.0
2368,3,487.0,1930.0
2369,3,430.0,1930.0
2370,3,505.7692307692308,
2371,3,676.0,1930.0
2372,3,1058.0,1930.0
2373,3,1290.0,1930.0
2374,3,1333.0,1930.0
2375,3,1340.0,1930.0
2376,3,1344.0,1930.0
2377,3,1316.0,1930.0
2378,3,1206.0,1930.0
2379,3,1012.0,1930.0
2380,3,505.7692307692308,
2381,3,861.0,1930.0
2382,3,1219.0,1930.0
2383,3,1352.0,1930.0
2384,3,1378.0,1930.0
2385,3,1440.0,1930.0
2386,3,1434.0,1930.0
2387,3,1403.0,1930.0
2388,3,1299.0,1930.0
2389,3,1158.0,1930.0
2390,3,505.7692307692308,
2391,3,743.0,1930.0
2392,3,1106.0,1930.0
2393,3,1342.0,1930.0
2394,3,1401.0,1930.0
2395,3,1416.0,1930.0
2396,3,1406.0,1930.0
2397,3,1383.0,1930.0
2398,3,1272.0,1930.0
2399,3,981.0,1930.0
2400,3,541.0,1930.0
2401,3,736.0,1930.0
2402,3,1249.0,1930.0
2403,3,1331.0,1930.0
2404,3,1434.0,1930.0
2405,3,1437.0,1930.0
2406,3,1437.0,1930.0
2407,3,1375.0,1930.0
2408,3,1344.0,1930.0
2409,3,1213.0,1930.0
2410,3,505.7692307692308,
2411,3,698.0,1930.0
2412,3,1019.0,1930.0
2413,3,1201.0,1930.0
2414,3,1248.0,1930.0
2415,3,1249.0,1930.0
2416,3,1234.0,1930.0
2417,3,1200.0,1930.0
2418,3,1143.0,1930.0
2419,3,978.0,1930.0
2420,3,505.7692307692308,
2421,3,351.0,1930.0
2422,3,446.0,1930.0
2423,3,561.0,1930.0
2424,3,638.0,1930.0
2425,3,717.0,1930.0
2426,3,857.0,1930.0
2427,3,889.0,1930.0
2428,3,914.0,1930.0
2429,3,862.0,1930.0
2430,3,505.7692307692308,
2431,3,333.0,1930.0
2432,3,529.0,1930.0
2433,3,752.0,1930.0
2434,3,869.0,1930.0
2435,3,977.0,1930.0
2436,3,974.0,1930.0
2437,3,880.0,1930.0
2438,3,723.0,1930.0
2439,3,479.0,1930.0
2440,3,505.7692307692308,
2441,3,648.0,1930.0
2442,3,949.0,1930.0
2443,3,1191.0,1930.0
2444,3,1276.0,1930.0
2445,3,1301.0,1930.0
2446,3,1287.0,1930.0
2447,3,1286.0,1930.0
2448,3,1183.0,1930.0
2449,3,952.0,1930.0
2450,3,505.7692307692308,
2451,3,742.0,1930.0
2452,3,1101.0,1930.0
2453,3,1327.0,1930.0
2454,3,1379.0,1930.0
